,0,1,2
0,7.4502397,-1.6344955,2.1833916
1,10.267708,-1.5739015,4.042623
2,3.9139082,-3.8754277,-4.2430973
3,10.522694,-1.6072345,4.1381445
4,10.343927,-1.5008688,4.0012484
5,10.450756,-1.523102,4.0392866
6,7.34679,-1.0515075,0.94458073
7,7.0051284,-0.36206642,-0.30921033
8,6.115094,0.0607465,-1.171561
9,8.587721,-1.0913564,2.5581326
10,5.3911314,1.4307514,-2.7935712
11,6.028185,0.9777135,-2.4965906
12,5.120012,1.3811299,-2.743358
13,9.452824,-1.9809883,4.322201
14,5.2003226,-0.049208112,-1.2208259
15,8.249934,-1.7916617,2.6050184
16,9.827961,-2.1335468,4.596
17,5.3187513,-0.0009558202,-1.0588952
18,4.161686,0.97031564,-2.0189598
19,5.1171007,0.051493198,-1.3305223
20,8.202811,-1.4303931,1.8049672
21,7.5721707,-0.599505,0.4873516
22,7.660924,-1.4661905,1.1086372
23,6.6332526,-0.6318667,0.43947715
24,8.655863,-1.5523841,1.9317778
25,8.175768,-1.512176,1.0617849
26,7.7402134,-0.81064475,1.2037961
27,6.0911617,0.04407963,-0.25663805
28,3.386471,2.3073335,-1.1015317
29,8.828374,-1.539306,2.3076484
30,6.066485,0.037742604,-0.07758592
31,4.3886156,2.1752172,-2.297568
32,9.979124,-2.3474274,3.3094363
33,4.479277,2.2233202,-2.4521017
34,4.443925,2.2721438,-2.5801365
35,4.4971986,2.1567948,-2.4844172
36,6.5869293,-1.0133052,1.0321276
37,5.2767034,1.1524831,-2.6815095
38,7.411917,-1.610441,2.1061103
39,7.484385,-1.6085349,2.1489758
40,10.5552025,-1.6059046,4.0533404
41,7.5600176,-1.6358819,2.19659
42,7.196194,-1.4435571,1.6920664
43,5.8370013,0.18349253,-0.38095787
44,7.003521,-0.43268082,-0.44507828
45,2.8454318,3.2113907,-2.2363346
46,5.0320816,-0.02784913,-1.7533017
47,3.306126,2.1277533,-1.554059
48,6.8563066,-0.41891113,-0.5443549
49,2.8052092,3.2349942,-2.3429482
50,7.8186746,-1.3278464,1.6099977
51,6.787428,-0.3820144,-0.5229057
52,10.320687,-1.9774387,4.2200027
53,7.907115,-1.1087343,1.4667052
54,8.8640785,-1.5969332,2.02576
55,5.610337,-0.5895246,-1.0874349
56,6.942559,-1.4786358,2.2261026
57,6.7339787,-0.4620915,0.34680068
58,7.421756,-1.5216037,1.9813309
59,7.957309,-1.1729705,1.5510451
60,7.0795894,-0.44991592,-0.48854932
61,8.446308,-1.3185279,1.6234822
62,5.31327,1.1727682,-2.6183872
63,10.702588,-1.7372599,4.101173
64,10.0361,-2.2858517,3.4684846
65,6.7831655,-1.1356821,1.3431668
66,10.725591,-2.1670854,4.4530277
67,5.3409357,1.133605,-2.6285098
68,5.64911,0.59082377,-0.8153142
69,6.9494967,-1.050455,1.0023961
70,7.83882,-1.4630271,1.7394575
71,6.97192,-0.38946974,-0.55809283
72,5.405519,1.0852104,-2.5854223
73,10.569001,-1.6561946,4.23764
74,7.6460733,-0.7016345,0.51250315
75,7.2482567,-1.5276366,2.041643
76,10.958259,-2.7405822,3.9307756
77,2.8717518,3.2316804,-2.2847729
78,4.6324735,0.34643376,-1.8092729
79,4.548267,0.4521313,-1.8835183
80,5.14898,1.0847342,-2.586224
81,10.642814,-1.7039735,4.1215935
82,10.720589,-1.9048243,4.0684032
83,5.76243,0.7691547,-1.0040185
84,4.8405666,0.26151592,-1.8820268
85,10.69433,-1.9174747,4.0243564
86,4.874124,1.0286617,-2.4634106
87,9.887604,-1.9218595,3.881636
88,5.935188,-0.7800393,-0.6057557
89,8.419808,-2.1635199,3.0064993
90,7.0219893,-0.750534,-0.017570231
91,4.477287,2.0325906,-2.2837923
92,11.245068,-2.560263,4.1845894
93,4.49284,1.9705123,-2.2091815
94,4.475906,1.8381611,-2.180493
95,4.3205667,2.2573986,-2.154897
96,3.395457,3.1886973,-0.28499764
97,3.621202,3.0631282,0.00060200284
98,4.728622,2.322469,0.9907952
99,4.6137905,2.4789033,1.098671
100,3.4571364,3.1037202,-0.36266404
101,4.7325478,2.3990154,1.2494832
102,4.695721,2.421038,1.2535528
103,4.6455746,2.4534192,1.1278706
104,4.8637156,2.2443814,1.211104
105,-0.56380767,-10.251378,-0.4187772
106,-1.2570509,-9.220563,-0.28645065
107,-1.0828332,-9.425069,-0.4311155
108,4.1433907,0.76683956,-2.169497
109,6.301394,0.3326398,-0.173625
110,2.5863094,2.6129344,-2.1120646
111,4.523992,-1.3298752,-2.8640788
112,6.3000827,-0.042632032,-0.3254124
113,6.3262815,-0.029731778,0.18299194
114,3.8520753,2.980753,0.55301785
115,6.5913467,-0.19119379,0.58239937
116,7.528255,-0.4281752,0.7149255
117,3.443723,1.4275042,-2.172749
118,-0.8817608,-9.73412,-0.39680237
119,2.6185737,2.5707998,-2.0980864
120,-0.55356306,-10.367039,-0.37830225
121,-0.48569176,-10.270307,-0.47226977
122,-0.9085948,-9.715777,-0.3623145
123,6.21678,0.36520463,-0.25115356
124,2.6985676,2.8695111,-2.3587096
125,2.8791196,2.8816178,-2.5235875
126,-0.57867986,-10.239752,-0.36506692
127,-1.1030153,-9.454573,-0.30462113
128,5.252156,0.62768865,-0.5900597
129,-0.588218,-10.344905,-0.4027407
130,3.5539834,1.1956648,-2.1508996
131,4.553554,-1.3013289,-2.8396342
132,3.4136665,2.7526476,-2.764635
133,-1.0120802,-9.54221,-0.3775906
134,6.250843,0.09463806,-0.5470303
135,-0.53467846,-10.2992115,-0.39927232
136,2.9499505,2.296782,-1.9787104
137,8.481227,-2.1373544,2.991837
138,10.002956,-2.1087565,4.7612095
139,6.088266,0.9121325,-2.4389877
140,8.355326,-2.0407763,2.8365972
141,7.1591325,-1.1618745,0.9704196
142,5.2111654,1.3069413,-2.7442214
143,9.8682375,-2.1170402,4.604422
144,4.6648498,2.4371915,1.192344
145,-0.8249868,-10.311302,-0.41590637
146,11.591034,-2.6253262,3.9505801
147,8.165806,-1.4063802,1.1010828
148,7.8796134,-1.7531321,2.3906567
149,5.281454,1.0685483,-2.302942
150,-0.76419115,-10.561814,-0.4179843
151,4.8932257,-0.63301027,-2.2700534
152,-0.9561769,-9.529163,-0.5253915
153,11.579388,-2.633132,3.949383
154,3.9629352,2.3074863,-2.1850019
155,-0.7307828,-10.547089,-0.41836733
156,4.634022,-1.1237454,-2.703132
157,-1.2231166,-9.267248,-0.27668247
158,11.483061,-2.5730596,4.0446568
159,4.22766,2.7067728,0.9580137
160,-0.53975546,-10.265487,-0.35439062
161,4.517659,-1.3763977,-2.8952231
162,10.086955,-2.3582351,3.4259348
163,5.659801,1.0582103,-0.050358616
164,4.4212112,2.1241026,-2.2519166
165,7.0904207,-0.33425447,-0.6916118
166,3.861745,2.3446305,-2.0091307
167,10.605343,-2.0519576,3.7745886
168,8.503696,-1.4294113,1.8087696
169,9.534881,-2.0957506,2.3683133
170,4.546031,2.51653,1.0112529
171,9.596499,-1.9892263,4.4476566
172,8.612621,-2.1089172,3.0264592
173,8.592444,-2.1357853,3.0313103
174,7.3112726,-0.6160365,0.21166357
175,8.456047,-2.159237,2.9755936
176,8.825487,-1.9570422,2.8245103
177,5.630814,1.1102216,0.09216035
178,3.4433262,3.101843,-0.43957227
179,4.589016,2.4857268,1.0905013
180,5.6174045,1.0602845,0.0954393
181,5.703582,0.9333223,-0.34948277
182,10.394149,-1.9783608,3.7675138
183,5.8165293,0.89190197,-0.09721201
184,4.3751674,2.6272533,1.0471921
185,4.521,2.555496,1.1679688
186,3.8881104,3.0060728,0.46035945
187,4.0374312,2.835372,0.76701003
188,6.0703096,1.0754004,1.4830496
189,4.804513,2.2626183,1.1474857
190,3.2598033,2.9036703,-1.2232336
191,9.191808,-2.1541572,2.011016
192,4.204295,2.6873167,0.8030276
193,4.096731,2.7368598,0.62425476
194,4.070446,2.7433941,0.15129918
195,3.9573305,2.7145126,-0.23055114
196,9.379485,-2.1526532,2.2248676
197,10.413436,-2.426874,4.37541
198,3.9708092,2.8503685,0.41563347
199,3.5858483,3.150813,0.0483287
200,3.642621,3.0204706,-0.18515462
201,4.1703005,2.7472699,0.89193815
202,3.4107308,3.1894982,-0.25384971
203,3.9049633,2.949772,0.6245718
204,3.7176843,2.902444,-0.08150689
205,3.5007312,3.173653,-0.12678777
206,3.446867,3.266757,0.0040741684
207,3.5193434,3.149149,-0.17210397
208,3.2149777,2.9939075,-1.9314402
209,3.4568644,3.2415953,-0.029137561
210,3.4493632,3.0777729,-0.51398456
211,3.5421307,2.907989,-0.52720267
212,3.4233942,3.0897741,-0.54161686
213,3.405333,3.0190415,-0.6610088
214,3.4899466,3.227075,0.03369094
215,4.0044956,2.8169327,0.22366452
216,9.450854,-2.2091646,2.3956277
217,3.8136227,2.7811844,-0.8267643
218,5.6455317,1.4081267,1.2346874
219,4.206244,2.611661,0.46515882
220,10.8787985,-2.7252834,3.9237936
221,3.7967103,3.059105,0.5137249
222,4.419832,2.601662,1.0257928
223,3.7627537,3.072787,0.46326554
224,4.132002,2.7716691,0.8664968
225,4.028456,2.7943952,0.2826344
226,3.4787626,3.0348036,-0.4363862
227,4.336798,2.6652126,1.0527649
228,3.3969228,3.1192188,-0.58434236
229,3.4619448,3.1992981,-0.12620535
230,3.321388,3.0086734,-0.8521881
231,3.8508265,2.9902618,0.5821644
232,3.9203014,2.9174304,0.55676264
233,4.2378078,-2.0633025,-3.4422147
234,4.0825233,-2.596987,-3.7010677
