,0,1
0,11.32112,-0.115140714
1,14.821029,-0.064867064
2,1.2386576,-7.990538
3,15.109534,-0.18676436
4,14.8771305,-0.12686126
5,15.038712,-0.20035028
6,10.010163,-0.86595035
7,8.657236,-1.748271
8,7.1384215,-1.6607864
9,8.353909,1.0052406
10,4.492062,-1.9909102
11,5.805143,-1.8658254
12,4.576827,-1.9295171
13,14.793516,0.79282725
14,6.3596954,-1.0102509
15,12.36242,-0.29010385
16,15.332326,0.5611738
17,6.446607,-0.96173835
18,4.8959484,-0.67195964
19,6.1770115,-1.0157912
20,11.486697,-0.98662496
21,9.875845,-1.4326173
22,10.701713,-1.1185948
23,8.926512,-0.941111
24,11.798922,-1.1663148
25,10.809267,-1.4096774
26,10.378022,-0.93957984
27,7.840937,-0.9990277
28,3.8005931,0.8008581
29,12.017729,-0.9649489
30,8.03007,-0.76647395
31,4.0089025,-1.037169
32,14.350568,-0.7951347
33,3.9567776,-1.159521
34,3.7144015,-1.254897
35,3.7373714,-1.1906062
36,9.371056,-0.44698304
37,4.9107347,-1.9668036
38,11.121157,-0.17188568
39,11.248969,-0.1856581
40,15.12682,-0.3166834
41,11.326936,-0.17469318
42,10.469346,-0.33569652
43,7.6183805,-0.84217656
44,8.611853,-1.8614938
45,2.2383604,0.2774852
46,6.0196414,-1.3496355
47,3.8249898,0.44647753
48,8.466533,-1.80345
49,2.1743898,0.25558937
50,10.954197,-0.86042213
51,8.379749,-1.9337627
52,15.398238,0.13493131
53,10.833696,-0.9040268
54,12.0125475,-1.1556269
55,7.0342546,-2.2688358
56,10.968578,0.12600571
57,8.925786,-1.0163095
58,11.019624,-0.22495809
59,11.006968,-0.8659999
60,8.675465,-1.8080826
61,11.33624,-1.3172398
62,4.808934,-2.0286567
63,15.18543,-0.24437298
64,14.462026,-0.4671058
65,9.841298,-0.23051085
66,15.950411,-0.15673915
67,4.827811,-2.0688865
68,6.96855,-0.8423322
69,9.729862,-0.52123016
70,11.1314125,-0.7974063
71,8.543082,-1.8006438
72,4.8072734,-2.0554378
73,15.257791,-0.13589576
74,9.948035,-1.4931667
75,10.909058,-0.079243295
76,15.963473,-0.9446229
77,2.210069,0.26134115
78,5.5756164,-1.120938
79,5.388977,-1.0416255
80,4.947987,-1.7254902
81,15.313945,-0.25176877
82,15.473756,-0.31520742
83,6.750529,-0.89591616
84,5.6558766,-1.226954
85,15.403065,-0.28534526
86,4.867249,-1.4091129
87,14.744151,0.14337699
88,7.5257316,-2.0301037
89,12.826336,-0.19212414
90,8.958244,-1.6245198
91,4.053488,-1.1064208
92,16.42614,-0.77817184
93,4.158819,-1.0803939
94,4.2797666,-1.1545849
95,3.9463992,-0.99924254
96,3.6803122,1.9117825
97,3.9273016,2.0701146
98,5.456511,2.0134149
99,5.5317535,2.0792406
100,3.5723422,1.8287202
101,5.73479,2.114272
102,5.639715,2.1430209
103,5.4531946,2.1807241
104,5.8778944,2.023104
105,-3.5308783,-8.065507
106,-4.0441446,-7.1777835
107,-4.0075483,-7.3322883
108,4.918629,-0.78135306
109,7.8687115,-0.88229537
110,2.7958775,0.32147905
111,5.7530837,-3.800162
112,8.087948,-1.1362609
113,8.270802,-0.69069076
114,4.3472495,2.4821763
115,8.906625,-0.5013289
116,9.815293,-1.0322009
117,4.1769257,-0.19349308
118,-3.8474522,-7.511638
119,2.8193521,0.2681479
120,-3.4140072,-8.142043
121,-3.4763324,-8.083173
122,-3.7976034,-7.5460744
123,7.8035655,-0.87292475
124,2.5321894,0.18384165
125,2.4217708,0.09448119
126,-3.585688,-8.138121
127,-3.87672,-7.3542404
128,7.002547,-0.80943966
129,-3.4158654,-8.177761
130,4.4867573,-0.27541006
131,5.771905,-3.7887266
132,2.5251381,-0.57120603
133,-3.9463234,-7.43132
134,7.8940625,-1.236706
135,-3.508135,-8.085166
136,3.254505,0.20154205
137,12.853028,-0.24123791
138,15.539185,0.63630277
139,5.9219847,-1.8801345
140,12.653418,-0.33694986
141,10.045935,-0.71677625
142,4.645324,-1.9383799
143,15.287294,0.52653563
144,5.5854044,2.1209438
145,-3.425413,-8.083668
146,16.489313,-1.2945136
147,10.776403,-1.3652084
148,11.760416,-0.2812359
149,4.988143,-1.6362257
150,3.854866,-0.89737934
151,-3.3611178,-8.212604
152,6.2646165,-2.9490929
153,-4.153112,-7.2601213
154,16.527288,-1.3204329
155,3.5942962,-0.73433673
156,-3.305123,-8.276142
157,5.9314165,-3.4875088
158,-3.9563558,-7.0709267
159,16.466661,-1.2041163
160,5.101476,2.3831947
161,-3.5686295,-8.002292
162,5.7592773,-3.8151615
163,14.599082,-0.71532494
164,6.9762874,-0.13236828
165,4.018927,-1.0750022
166,8.657726,-1.9099985
167,3.5973983,-0.62931037
168,15.282547,-0.5466602
169,11.540697,-1.1995802
170,13.093132,-1.1784297
171,5.345617,2.0833385
172,14.907608,0.7587885
173,13.064894,-0.39813343
174,13.047875,-0.379539
175,9.487307,-1.5626963
176,12.863937,-0.2261626
177,13.098162,-0.49992913
178,7.0129223,-0.112495445
179,3.6423714,1.8439406
180,5.6005864,2.0848968
181,7.037717,-0.11787892
182,6.960338,-0.34263837
183,15.1517105,-0.457873
184,7.0797443,-0.2931637
185,5.306832,2.352201
186,5.4771094,2.25883
187,4.367672,2.3599663
188,4.7598195,2.4490035
189,7.8449926,1.0226635
190,6.0042787,1.9008353
191,3.2807922,1.0841627
192,13.015588,-1.3539233
193,5.0470533,2.3762174
194,4.8503203,2.327787
195,4.492395,1.9067329
196,4.2007046,1.6176101
197,13.119665,-1.1997937
198,15.883691,-0.014319274
199,4.43373,2.3007023
200,3.923406,2.097537
201,3.9368222,1.9267204
202,4.9229555,2.428347
203,3.73687,1.9845952
204,4.489631,2.4454317
205,4.0923204,1.9061276
206,3.7756915,2.0153687
207,3.9102178,2.1409602
208,3.7150867,1.9616054
209,2.771843,0.67838997
210,3.7851577,2.096556
211,3.551541,1.7858185
212,3.598608,1.5051497
213,3.518501,1.718533
214,3.4859028,1.6359516
215,3.9356682,2.1292791
216,4.446553,1.8641455
217,13.399914,-1.0803882
218,3.8123875,1.3670624
219,7.478239,0.9734385
220,4.9329643,2.0876455
221,15.954428,-0.83842444
222,4.1944785,2.5068665
223,5.3965526,2.199904
224,4.2180853,2.4193113
225,4.970494,2.4411814
226,4.543543,1.948034
227,3.6446662,1.6836394
228,5.28364,2.3217947
229,3.498222,1.6977963
230,3.8909621,2.072157
231,3.4495912,1.4943365
232,4.3834696,2.3951626
233,4.4947047,2.3838634
234,5.426608,-4.40009
235,5.0677156,-4.754894
236,6.4084535,-2.5571449
237,13.190742,-1.2788441
238,6.3528547,-1.7998507
239,16.111734,-0.5271066
240,7.0685596,0.028282803
241,7.635377,0.9648399
242,2.3735054,-0.30724382
243,2.3547585,0.39759636
244,10.053391,-1.5675172
245,9.513533,-1.0165888
246,7.9081693,-0.8950456
247,8.289085,-1.404869
248,4.3003163,2.044004
249,7.5154433,-1.5657327
250,12.87369,-1.1661524
251,7.458054,-0.41178882
252,16.232569,-0.11315768
253,7.2054834,-0.3088688
254,4.0883875,1.3230139
255,6.905673,-0.20531751
256,14.5470705,-0.73585236
257,7.5719614,-0.041762456
258,15.32076,0.17326441
259,3.3891847,-1.4432226
260,15.711432,0.41509387
261,3.7221184,-1.6177297
262,3.5158598,-1.2781284
263,3.582151,-1.5435222
264,3.4980178,-1.4147766
265,15.3614235,0.2325821
266,10.777326,-1.1281819
267,4.7100787,-1.9894994
268,4.250218,-0.9928538
269,3.7791567,0.40342063
270,4.819302,-1.8527833
271,5.053986,-4.763177
272,5.485484,-4.3247952
273,5.2593446,-4.5662208
274,1.2465369,-7.983101
275,1.1344209,-8.095081
276,5.419802,-4.4093566
277,1.3695904,-7.8608527
278,11.994464,-1.2927012
279,11.947286,-1.2539306
280,11.9514885,-1.2778188
281,12.019141,-1.3193065
282,11.9686165,-1.2944788
283,5.480632,-4.3208914
284,5.314076,-4.518826
285,1.2425802,-7.9871807
286,1.2481271,-7.9815197
287,5.4670844,-4.3435946
